"Year","Month","logThrips","maxT","Rain"
1932,4,1.50407739677627,19.2,140.1
1932,5,3.15273602236366,19.1,53.7
1932,6,2.87919845729804,14.3,134.1
1932,7,1.48160454092422,13.8,89.9
1932,8,1.19392246847243,14.6,92.2
1932,9,3.52636052461616,17.6,49.7
1932,10,2.62466859216316,17.4,61.6
1932,11,4.8955984841079,23.3,14.2
1932,12,5.58874566466784,24.3,10.4
1933,1,3.63230910262554,24.8,31.1
1933,2,2.28238238567653,28.4,10.2
1933,3,1.02961941718116,24.4,36.2
1933,4,0.8754687373539,21.1,53.1
1933,5,1.3609765531356,17.1,174.2
1933,6,1.66770682055808,15.9,46
1933,7,1.70474809223843,14.1,55.5
1933,8,0.53062825106217,14,97.8
1933,9,1.02961941718116,16.3,94.2
1933,10,2.31253542384721,21.8,17.5
1933,11,4.36054760299676,23.4,6.4
1933,12,4.26689632742025,25.4,10.8
1934,1,2.7408400239252,29.8,14.5
1934,2,1.62924053973028,28.5,3.4
1934,3,1.98787434815435,29.2,18.3
1934,4,1.80828877117927,19.8,37.8
1934,5,2.66722820658195,21,1.6
1934,6,3.29212628660779,16.2,29.2
1934,7,1.90210752639692,15.8,30.2
1934,8,1.30833281965018,14.9,124.4
1934,9,1.77495235091167,18.7,102.8
1934,10,0.470003629245736,19.8,63.2
1934,11,3.58351893845611,22.5,96.3
1934,12,4.33467293829041,25.6,38.6
1935,1,2.67414864942653,26.2,22
1935,2,2.05412373369555,26.9,0.9
1935,3,1.30833281965018,25.3,68.1
1935,4,0.955511445027436,20.1,49
1935,5,1.82454929205105,16.4,74.1
1935,6,2.80336038090653,14.3,72.9
1935,7,-0.22314355131421,14.2,81.9
1935,8,0.53062825106217,16.4,82.4
1935,9,1.70474809223843,18.1,72.8
1935,10,3.08648663682246,20.7,66.6
1935,11,4.8941014778403,23.7,23.5
1935,12,4.91705694713669,26.2,16.2
1936,1,2.76631910922619,27.2,35.7
1936,2,1.7404661748405,26.6,18.8
1936,3,1.84054963339749,26.1,2.1
1936,4,1.19392246847243,20.4,39.4
1936,5,2.09186406167839,19.5,68.8
1936,6,2.55722731136763,14.2,71.4
1936,7,2.2082744135228,13.9,77.8
1936,8,0.587786664902119,15.6,52.3
1936,9,1.45861502269952,17.1,28.2
1936,10,2.41591377830105,19.3,72.1
1936,11,3.71600812150219,23.7,12.9
1936,12,4.23410650459726,25.4,41.4
1937,1,1.77495235091167,25.1,71.7
1937,2,1.06471073699243,27.3,14.1
1937,3,1.30833281965018,26.9,25.6
1937,4,0.693147180559945,20.4,28.8
1937,5,1.09861228866811,17.9,119.3
1937,6,1.56861591791385,14.5,56.4
1937,7,0.916290731874155,13.8,44.3
1937,8,0.53062825106217,15.8,92.9
1937,9,1.52605630349505,17.7,91.4
1937,10,3.19458313229916,21.1,20
1937,11,5.73786178830906,25.4,51.5
1937,12,4.84733174313806,24.3,42.1
1938,1,2.74727091425549,26.7,19.7
1938,2,1.82454929205105,25.7,56.2
1938,3,1.38629436111989,25.8,3.8
1938,4,1.25276296849537,22.3,150.9
1938,5,2.45100509811232,18.7,32.7
1938,6,1.7227665977411,13.8,67.6
1938,7,2.06686275947298,14.2,78.8
1938,8,1.68639895357023,14.7,68.5
1938,9,3.92592591059714,17.8,25.8
1938,10,5.06132840841177,21.6,25.6
1938,11,6.35367414654519,25.6,17.9
1938,12,4.92435092549924,26.9,12.4
